title,url,datePosted,hood,description,address
Females wanted (18+),https://melbourne.craigslist.org/tfr/d/females-wanted-18/7075599713.html,2020-02-15 14:37, (Melbourne),300 - 700 dollars over 70 a minute!,"

    



            compensation: 300 - 700 dollars over 70 a minute!
            




            employment type: employee's choice
            

    
    "
Seeking African/AsianHispanic Massage Staff,https://melbourne.craigslist.org/spa/d/seeking-african-asianhispanic-massage/7075071159.html,2020-02-15 00:27,,150,"

    



            compensation: 150
            




            employment type: part-time
            

    
    "
Amateur Modelling Jobs,https://melbourne.craigslist.org/tfr/d/amateur-modelling-jobs/7074459869.html,2020-02-14 00:19, (Melbourne),"$500-100,000","

    



            compensation: $500-100,000
            




            employment type: contract
            

    
    "
JOIN A RAPIDLY GROWING ONLINE COMPANY,https://melbourne.craigslist.org/mar/d/join-rapidly-growing-online-company/7069854886.html,2020-02-09 13:07, (Melbourne),Commission only - Up to $5000 per sale,"

    



            compensation: Commission only - Up to $5000 per sale
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
Writer's Assistant,https://melbourne.craigslist.org/csr/d/writers-assistant/7071818873.html,2020-02-09 13:04, (Bendigo area Vic),Negotiable,"

    



            compensation: Negotiable
            




            employment type: part-time
            

    
    "
Females Needed,https://melbourne.craigslist.org/tfr/d/females-needed/7071372601.html,2020-02-09 00:20, (Melbourne),$500 - $5000,"

    



            compensation: $500 - $5000
            




            employment type: full-time
            

    
    "
Females Wanted,https://melbourne.craigslist.org/etc/d/females-wanted/7071371963.html,2020-02-09 00:16, (Melbourne),$500 - $5000,"

    



            compensation: $500 - $5000
            




            employment type: contract
            

    
    "
Backpackers Wanted,https://melbourne.craigslist.org/tfr/d/backpackers-wanted/7071370556.html,2020-02-09 00:15, (Melbourne),$500 - $5000,"

    



            compensation: $500 - $5000
            




            employment type: contract
            

    
    "
Backpackers Needed,https://melbourne.craigslist.org/etc/d/backpackers-needed/7071370969.html,2020-02-09 00:12, (Melbourne),$500 - $5000,"

    



            compensation: $500 - $5000
            




            employment type: contract
            

    
    "
Quartz and Granite Fabricators and Installers,https://melbourne.craigslist.org/mnu/d/quartz-and-granite-fabricators-and/7070440099.html,2020-02-07 09:02, (Melbourne),TOP PAY,"

    



            compensation: TOP PAY
            




            employment type: full-time
            

    
    "
Executive Assistant Needed,https://melbourne.craigslist.org/ofc/d/executive-assistant-needed/7070144151.html,2020-02-07 03:12,,Negotiable per experience,"

    



            compensation: Negotiable per experience
            




            employment type: contract
            




            telecommuting okay
            

    
    "
Are you looking to increase your income?,https://melbourne.craigslist.org/sls/d/are-you-looking-to-increase-your-income/7068056037.html,2020-02-03 18:11, (Melbourne (global opportunity)),100 % commission based,"

    



            compensation: 100 % commission based
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
A Sales Role Without The Pressure Selling,https://melbourne.craigslist.org/sls/d/sales-role-without-the-pressure-selling/7067515911.html,2020-02-02 14:29, (Melbourne),Commission only - Excellent reward on sale,"

    



            compensation: Commission only - Excellent reward on sale
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
"Work in Tourism in Buenos Aires, Argentina",https://melbourne.craigslist.org/edu/d/work-in-tourism-in-buenos-aires/7065302359.html,2020-01-30 04:33,,to be confirmed,"

    



            compensation: to be confirmed
            




            employment type: employee's choice
            

    
    "
Website development australia,https://melbourne.craigslist.org/web/d/website-development-australia/7065084096.html,2020-01-29 17:47, (Melbourne),https://antheminfotech.com/,"

    



            compensation: https://antheminfotech.com/
            




            employment type: full-time
            

    
    "
Apartment Maintenance Technicians Jobs,https://melbourne.craigslist.org/lab/d/apartment-maintenance-technicians-jobs/7064586575.html,2020-01-29 04:18," (Melbourne, fl)",Starts at $15 per hour,"

    



            compensation: Starts at $15 per hour
            




            employment type: full-time
            

    
    "
casual job,https://melbourne.craigslist.org/etc/d/casual-job/7055630015.html,2020-01-28 16:46, (Melbourne),negotiable,"

    



            compensation: negotiable
            




            employment type: employee's choice
            

    
    "
Amateur Female Models,https://melbourne.craigslist.org/tfr/d/amateur-female-models/7063620041.html,2020-01-27 10:02, (Melbourne),To be negotiated,"

    



            compensation: To be negotiated
            




            employment type: part-time
            

    
    "
"Exciting, lucrative opportunities available at CLUB 741",https://melbourne.craigslist.org/etc/d/exciting-lucrative-opportunities/7063068583.html,2020-01-26 10:40, (Melbourne),Hourly,"

    



            compensation: Hourly
            




            employment type: employee's choice
            

    
    "
Seeking New Massage Staff,https://melbourne.craigslist.org/spa/d/seeking-new-massage-staff/7062674327.html,2020-01-26 01:23, (Melbourne),$120,"

    



            compensation: $120
            




            employment type: part-time
            




            non-profit organisation
            

    
    "
Paid to drink,https://melbourne.craigslist.org/fbh/d/paid-to-drink/7062595513.html,2020-01-25 15:00, (Melbourne),100,"

    



            compensation: 100
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
Telecommuting- Proofreading,https://melbourne.craigslist.org/wri/d/telecommuting-proofreading/7061388942.html,2020-01-23 23:25,,Pay is calculated off a base rate of $20/hour.,"

    



            compensation: Pay is calculated off a base rate of $20/hour.
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
Lifestyle Sales Managers,https://melbourne.craigslist.org/edu/d/lifestyle-sales-managers/7061343672.html,2020-01-23 19:02, (Brisbane),High Commission Sales,"

    



            compensation: High Commission Sales
            




            employment type: full-time
            




            telecommuting okay
            

    
    "
Work From Your Portable Office,https://melbourne.craigslist.org/bus/d/work-from-your-portable-office/7059957542.html,2020-01-21 13:59,,Make up to $7000 per sale,"

    



            compensation: Make up to $7000 per sale
            




            employment type: employee's choice
            

    
    "
Young guy to walk on sore back,https://melbourne.craigslist.org/lab/d/young-guy-to-walk-on-sore-back/7059768385.html,2020-01-21 09:01, (Melbourne),$100 an hour,"

    



            compensation: $100 an hour
            




            employment type: contract
            

    
    "
Education Experts,https://melbourne.craigslist.org/edu/d/education-experts/7058265002.html,2020-01-18 17:48, (Melbourne),High Commission Sales,"

    



            compensation: High Commission Sales
            




            employment type: employee's choice
            




            telecommuting okay
            

    
    "
Painters/Photographers/Artists Wanted,https://melbourne.craigslist.org/med/d/painters-photographers-artists-wanted/7057348648.html,2020-01-17 08:16, (Melbourne),Self-guided based on the schedule you create for yourself,"

    



            compensation: Self-guided based on the schedule you create for yourself
            




            employment type: employee's choice
            

    
    "
Next Step For School Teachers,https://melbourne.craigslist.org/sls/d/next-step-for-school-teachers/7057345663.html,2020-01-17 07:32, (Melbourne),Commission with the Option of Travel...,"

    



            compensation: Commission with the Option of Travel...
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
Short film one male actor,https://melbourne.craigslist.org/tfr/d/short-film-one-male-actor/7056363699.html,2020-01-15 20:32, (Melbourne),To be negotiated,"

    



            compensation: To be negotiated
            




            employment type: contract
            

    
    "
video editing available,https://melbourne.craigslist.org/tfr/d/video-editing-available/7054896062.html,2020-01-13 10:53,,to be negotiated,"

    



            compensation: to be negotiated
            




            employment type: contract
            

    
    "
Freelance Private Teachers / Coaches / Tutors / Skill Providers,https://melbourne.craigslist.org/edu/d/freelance-private-teachers-coaches/7054546264.html,2020-01-12 23:23, (Anywhere),Self-pricing by yourself,"

    



            compensation: Self-pricing by yourself
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
Social Media Content Creator + Analytics Manager,https://melbourne.craigslist.org/mar/d/social-media-content-creator-analytics/7052670454.html,2020-01-10 00:11,,$1900 per month,"

    



            compensation: $1900 per month
            




            employment type: contract
            




            telecommuting okay
            

    
    "
Learn To Earn An Uncapped Income Working Part Time,https://canberra.craigslist.org/sls/d/learn-to-earn-an-uncapped-income/7070724281.html,2020-02-13 12:00,,"100%  commission based, great profits, earn 6 figures on a part time work basis","

    



            compensation: 100%  commission based, great profits, earn 6 figures on a part time work basis
            




            employment type: part-time
            

    
    "
Leadership Development Company Seeks Talented Professionals,https://canberra.craigslist.org/mar/d/leadership-development-company-seeks/7057513465.html,2020-02-10 11:46,,100% Commission,"

    



            compensation: 100% Commission
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
Escape The 9 To 5 Grind,https://canberra.craigslist.org/bus/d/escape-the-9-to-5-grind/7052428775.html,2020-02-03 19:42,,Flexible Hours / Commission Only,"

    



            compensation: Flexible Hours / Commission Only
            




            employment type: part-time
            

    
    "
Telecommuting- Proofreading,https://canberra.craigslist.org/wri/d/telecommuting-proofreading/7061389462.html,2020-01-23 23:28,,Pay is calculated off a base rate of $20/hour.,"

    



            compensation: Pay is calculated off a base rate of $20/hour.
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
high english ability teach or train,https://canberra.craigslist.org/edu/d/high-english-ability-teach-or-train/7059357373.html,2020-01-20 16:02,,68d/hr,"

    



            compensation: 68d/hr
            




            employment type: part-time
            

    
    "
Freelance Educators / Coaches / Experts,https://canberra.craigslist.org/edu/d/freelance-educators-coaches-experts/7055009292.html,2020-01-13 15:26,,Self-pricing,"

    



            compensation: Self-pricing
            




            employment type: part-time
            




            telecommuting okay
            

    
    "
